# git_commit: 4972e0d
# rustc: rustc 1.96.0 (ac68faa20 2026-05-25)
# cpu: AMD Ryzen 5 3600 6-Core Processor
# ram: 16275076 kB
# kernel: 6.8.0-124-generic
# date: 2026-06-12T06:04:11Z
# seed: 48879
# reps: 3 (wall median/min/max; io_stats identical across reps by assertion)
# caveats: page cache not defeated; engine-level I/O is the contract metric; single-threaded; CoW space unreclaimed
# experiment: e3 parameter grid (L = B; cache 10% live; ycsb-a phase, commit/1000)
# n_load: 200000
# n_phase: 100000
# eps_eff: derived annotation: ln F / ln mean_node_bytes (ADR-0016)
F,B,height,live_nodes,mean_node_bytes,eps_eff,write_amp,read_amp,throughput_ops_s,p99_us
4,16,13,26452,346.4337,0.2371,13.7561,80.9418,103985.9629,32
4,64,12,6657,1245.7389,0.1945,12.7468,267.2235,58871.9848,63
4,256,10,1644,4910.1655,0.1631,13.1127,1008.3995,19692.3557,212
8,16,8,18625,473.5289,0.3376,17.6011,69.2856,135102.1282,28
8,64,7,4727,1736.4003,0.2788,16.0227,227.6276,70419.6870,49
8,256,6,1133,7104.8791,0.2345,16.5535,875.7056,22599.5691,175
16,16,6,16721,522.4388,0.4430,25.6947,70.7826,129765.9309,33
16,64,5,4090,1999.9844,0.3648,25.2699,220.7196,73015.9903,47
16,256,4,987,8149.3455,0.3079,29.5390,828.7471,23119.8059,163
32,16,5,15671,554.4956,0.5485,38.2875,82.6108,107132.0375,56
32,64,4,3823,2136.5912,0.4520,37.9800,221.3099,68201.4237,51
32,256,4,934,8609.2848,0.3825,36.7778,786.7509,24566.5878,129
