# git_commit: 4972e0d
# rustc: rustc 1.96.0 (ac68faa20 2026-05-25)
# cpu: AMD Ryzen 5 3600 6-Core Processor
# ram: 16275076 kB
# kernel: 6.8.0-124-generic
# date: 2026-06-12T06:06:03Z
# seed: 48879
# reps: 3 (wall median/min/max; io_stats identical across reps by assertion)
# caveats: page cache not defeated; engine-level I/O is the contract metric; single-threaded; CoW space unreclaimed
# experiment: e5 space debt: file/live ratio over update-heavy run (single run; all metrics deterministic byte counts)
# keyspace: 100000
# n_updates: 1000000
# commit_every: 1000
ops,live_bytes,file_size,file_over_live
50000,7198116,15363240,2.1343
100000,8255612,27224740,3.2977
150000,8479572,39435748,4.6507
200000,8340620,51758500,6.2056
250000,8310128,64019872,7.7038
300000,8331512,76289316,9.1567
350000,8369132,88556308,10.5813
400000,8359364,100852636,12.0646
450000,8366360,113118488,13.5206
500000,8357472,125418524,15.0068
550000,8368384,137690196,16.4536
600000,8356196,149975012,17.9478
650000,8370188,162240520,19.3831
700000,8371684,174509668,20.8452
750000,8388800,186814984,22.2696
800000,8368296,199121300,23.7947
850000,8367372,211411068,25.2661
900000,8371596,223718744,26.7235
950000,8352588,236041440,28.2597
1000000,8372960,248322832,29.6577
